,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
102,786483,0.01134196,8,DASH.main,0,2017-12-13T12:13:36Z,2017-12-13 12:13:36,0.001417745
103,786482,0.13932553,26,DASH.main,0,2017-12-13T12:13:13Z,2017-12-13 12:13:13,0.005358674230769231
104,786481,0.01900317,54,DASH.main,0,2017-12-13T12:08:26Z,2017-12-13 12:08:26,0.0003519105555555556
105,786480,0.00697719,30,DASH.main,0,2017-12-13T12:01:30Z,2017-12-13 12:01:30,0.000232573
106,786479,0.001848,5,DASH.main,0,2017-12-13T11:57:46Z,2017-12-13 11:57:46,0.0003696
107,786478,0.00466756,17,DASH.main,0,2017-12-13T11:57:09Z,2017-12-13 11:57:09,0.0002745623529411765
108,786477,0.0018991,17,DASH.main,0,2017-12-13T11:55:17Z,2017-12-13 11:55:17,0.00011171176470588235
109,786476,0.00957712,44,DASH.main,0,2017-12-13T11:53:42Z,2017-12-13 11:53:42,0.00021766181818181816
110,786475,0.0,1,DASH.main,0,2017-12-13T11:47:11Z,2017-12-13 11:47:11,0.0
111,786474,0.00171067,8,DASH.main,0,2017-12-13T11:47:09Z,2017-12-13 11:47:09,0.00021383375
112,786473,0.00219003,11,DASH.main,0,2017-12-13T11:46:37Z,2017-12-13 11:46:37,0.00019909363636363641
113,786472,0.04543631,47,DASH.main,0,2017-12-13T11:44:41Z,2017-12-13 11:44:41,0.00096673
114,786471,0.00294214,7,DASH.main,0,2017-12-13T11:38:55Z,2017-12-13 11:38:55,0.00042030571428571434
115,786470,0.00214263,15,DASH.main,0,2017-12-13T11:37:43Z,2017-12-13 11:37:43,0.000142842
116,786469,0.00725963,16,DASH.main,0,2017-12-13T11:35:59Z,2017-12-13 11:35:59,0.000453726875
117,786468,0.00624137,8,DASH.main,0,2017-12-13T11:35:03Z,2017-12-13 11:35:03,0.00078017125
118,786467,0.00786731,14,DASH.main,0,2017-12-13T11:34:30Z,2017-12-13 11:34:30,0.0005619507142857143
119,786466,0.03998492,50,DASH.main,0,2017-12-13T11:34:10Z,2017-12-13 11:34:10,0.0007996984
120,786465,0.01852514,32,DASH.main,0,2017-12-13T11:30:03Z,2017-12-13 11:30:03,0.000578910625
121,786464,0.01493967,27,DASH.main,0,2017-12-13T11:26:45Z,2017-12-13 11:26:45,0.0005533211111111114
122,786463,8.115000000000001e-05,4,DASH.main,0,2017-12-13T11:22:42Z,2017-12-13 11:22:42,2.02875e-05
123,786462,0.00152539,10,DASH.main,0,2017-12-13T11:22:11Z,2017-12-13 11:22:11,0.00015253899999999998
124,786461,0.01363555,7,DASH.main,0,2017-12-13T11:20:57Z,2017-12-13 11:20:57,0.0019479357142857144
125,786460,0.017621770000000002,29,DASH.main,0,2017-12-13T11:20:14Z,2017-12-13 11:20:14,0.0006076472413793102
126,786459,0.0,1,DASH.main,0,2017-12-13T11:15:36Z,2017-12-13 11:15:36,0.0
127,786458,0.01333006,50,DASH.main,0,2017-12-13T11:15:15Z,2017-12-13 11:15:15,0.0002666012
128,786457,0.01455973,55,DASH.main,0,2017-12-13T11:08:48Z,2017-12-13 11:08:48,0.00026472236363636365
129,786456,0.00202147,11,DASH.main,0,2017-12-13T11:02:39Z,2017-12-13 11:02:39,0.00018377
130,786455,0.03735805,40,DASH.main,0,2017-12-13T11:00:42Z,2017-12-13 11:00:42,0.00093395125
131,786454,0.01935911,32,DASH.main,0,2017-12-13T10:56:05Z,2017-12-13 10:56:05,0.0006049721875
132,786453,0.00382273,13,DASH.main,0,2017-12-13T10:51:32Z,2017-12-13 10:51:32,0.0002940561538461538
133,786452,0.00348103,9,DASH.main,0,2017-12-13T10:50:28Z,2017-12-13 10:50:28,0.0003867811111111112
134,786451,0.00178812,10,DASH.main,0,2017-12-13T10:49:33Z,2017-12-13 10:49:33,0.000178812
135,786450,0.07594730000000001,44,DASH.main,0,2017-12-13T10:48:57Z,2017-12-13 10:48:57,0.001726075
136,786449,0.0270279,12,DASH.main,0,2017-12-13T10:43:02Z,2017-12-13 10:43:02,0.002252325
137,786448,0.02211827,21,DASH.main,0,2017-12-13T10:40:27Z,2017-12-13 10:40:27,0.0010532509523809522
