,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
132,2009198,43.51019992,19,DOGE.main,0,2017-12-13T14:12:55Z,2017-12-13 14:12:55,2.290010522105263
133,2009197,61.0,31,DOGE.main,0,2017-12-13T14:12:24Z,2017-12-13 14:12:24,1.9677419354838708
134,2009196,18.08,18,DOGE.main,0,2017-12-13T14:11:14Z,2017-12-13 14:11:14,1.0044444444444445
135,2009195,24.36100194,16,DOGE.main,0,2017-12-13T14:10:12Z,2017-12-13 14:10:12,1.52256262125
136,2009194,30.00999995,24,DOGE.main,0,2017-12-13T14:09:39Z,2017-12-13 14:09:39,1.2504166645833334
137,2009193,1.0,2,DOGE.main,0,2017-12-13T14:08:16Z,2017-12-13 14:08:16,0.5
138,2009192,15.0002,15,DOGE.main,0,2017-12-13T14:08:10Z,2017-12-13 14:08:10,1.0000133333333332
139,2009191,5.0,4,DOGE.main,0,2017-12-13T14:07:30Z,2017-12-13 14:07:30,1.25
140,2009190,23.23,9,DOGE.main,0,2017-12-13T14:07:20Z,2017-12-13 14:07:20,2.581111111111112
141,2009189,30.83539947,37,DOGE.main,0,2017-12-13T14:06:57Z,2017-12-13 14:06:57,0.833389174864865
142,2009188,141.1184639,76,DOGE.main,0,2017-12-13T14:05:55Z,2017-12-13 14:05:55,1.8568218934210523
143,2009187,3.0,4,DOGE.main,0,2017-12-13T14:01:32Z,2017-12-13 14:01:32,0.75
144,2009186,7.0,7,DOGE.main,0,2017-12-13T14:01:23Z,2017-12-13 14:01:23,1.0
145,2009185,89.93325773000002,53,DOGE.main,0,2017-12-13T14:01:04Z,2017-12-13 14:01:04,1.6968539194339625
146,2009184,14.78936343,16,DOGE.main,0,2017-12-13T13:58:17Z,2017-12-13 13:58:17,0.924335214375
147,2009183,27.99999997,12,DOGE.main,0,2017-12-13T13:57:29Z,2017-12-13 13:57:29,2.3333333308333333
148,2009182,103.53480661,55,DOGE.main,0,2017-12-13T13:57:10Z,2017-12-13 13:57:10,1.8824510292727277
149,2009181,0.0,1,DOGE.main,0,2017-12-13T13:55:23Z,2017-12-13 13:55:23,0.0
150,2009180,26.0002,15,DOGE.main,0,2017-12-13T13:54:22Z,2017-12-13 13:54:22,1.7333466666666666
151,2009179,4.1004000000000005,12,DOGE.main,0,2017-12-13T13:53:43Z,2017-12-13 13:53:43,0.3417000000000001
152,2009178,57.81257812,34,DOGE.main,0,2017-12-13T13:53:31Z,2017-12-13 13:53:31,1.7003699447058822
153,2009177,2.0,3,DOGE.main,0,2017-12-13T13:51:46Z,2017-12-13 13:51:46,0.6666666666666666
154,2009176,117.62950879,67,DOGE.main,0,2017-12-13T13:51:34Z,2017-12-13 13:51:34,1.7556643102985074
155,2009175,8.0,9,DOGE.main,0,2017-12-13T13:48:40Z,2017-12-13 13:48:40,0.8888888888888888
156,2009174,34.40373592,37,DOGE.main,0,2017-12-13T13:48:17Z,2017-12-13 13:48:17,0.9298307005405406
157,2009173,0.0,1,DOGE.main,0,2017-12-13T13:48:01Z,2017-12-13 13:48:01,0.0
158,2009172,88.31728099,56,DOGE.main,0,2017-12-13T13:47:09Z,2017-12-13 13:47:09,1.577094303392857
