,Height,RewardFee,Transactions,blockchain,nonce,time,Time,AvgFee/Tx
121,1331519,0.1699909,55,LTC.main,0,2017-12-13T16:05:10Z,2017-12-13 16:05:10,0.003090743636363636
122,1331518,0.24922319,81,LTC.main,0,2017-12-13T16:04:33Z,2017-12-13 16:04:33,0.0030768295061728394
123,1331517,1.64278984,516,LTC.main,0,2017-12-13T16:03:50Z,2017-12-13 16:03:50,0.003183701240310077
124,1331516,0.08059166,21,LTC.main,0,2017-12-13T15:58:52Z,2017-12-13 15:58:52,0.0038376980952380953
125,1331515,2.94572764,874,LTC.main,0,2017-12-13T15:58:41Z,2017-12-13 15:58:41,0.003370397757437071
0,1331514,0.32393521000000003,85,LTC.main,0,2017-12-13T15:51:00Z,2017-12-13 15:51:00,0.003811002470588235
1,1331513,1.37470327,443,LTC.main,0,2017-12-13T15:50:06Z,2017-12-13 15:50:06,0.003103167652370203
2,1331512,2.31252712,587,LTC.main,0,2017-12-13T15:46:22Z,2017-12-13 15:46:22,0.003939569199318569
3,1331511,0.45939682,157,LTC.main,0,2017-12-13T15:40:31Z,2017-12-13 15:40:31,0.002926094394904459
4,1331510,0.28116014,95,LTC.main,0,2017-12-13T15:39:15Z,2017-12-13 15:39:15,0.002959580421052632
5,1331509,0.05134829,19,LTC.main,0,2017-12-13T15:38:28Z,2017-12-13 15:38:28,0.0027025415789473685
6,1331508,0.5736392100000001,179,LTC.main,0,2017-12-13T15:38:21Z,2017-12-13 15:38:21,0.0032046883240223465
7,1331507,0.38481342,93,LTC.main,0,2017-12-13T15:36:46Z,2017-12-13 15:36:46,0.004137778709677418
8,1331506,0.01418506,7,LTC.main,0,2017-12-13T15:35:49Z,2017-12-13 15:35:49,0.002026437142857143
9,1331505,0.4225225,99,LTC.main,0,2017-12-13T15:35:45Z,2017-12-13 15:35:45,0.004267904040404041
10,1331504,0.87190654,238,LTC.main,0,2017-12-13T15:34:48Z,2017-12-13 15:34:48,0.003663472857142857
11,1331503,0.34387962,117,LTC.main,0,2017-12-13T15:32:38Z,2017-12-13 15:32:38,0.002939142051282051
12,1331502,0.0,1,LTC.main,0,2017-12-13T15:31:58Z,2017-12-13 15:31:58,0.0
13,1331501,0.91207384,289,LTC.main,0,2017-12-13T15:31:40Z,2017-12-13 15:31:40,0.0031559648442906576
14,1331500,0.56093499,351,LTC.main,0,2017-12-13T15:29:27Z,2017-12-13 15:29:27,0.0015981053846153847
15,1331499,1.97611889,392,LTC.main,0,2017-12-13T15:28:58Z,2017-12-13 15:28:58,0.0050411196173469385
16,1331498,0.08877073,23,LTC.main,0,2017-12-13T15:23:07Z,2017-12-13 15:23:07,0.0038595969565217393
17,1331497,1.12168527,286,LTC.main,0,2017-12-13T15:22:53Z,2017-12-13 15:22:53,0.003921976468531469
18,1331496,1.71060766,482,LTC.main,0,2017-12-13T15:20:30Z,2017-12-13 15:20:30,0.0035489785477178424
19,1331495,3.4968072999999995,1138,LTC.main,0,2017-12-13T15:15:56Z,2017-12-13 15:15:56,0.003072765641476275
20,1331494,1.15639399,215,LTC.main,0,2017-12-13T15:11:14Z,2017-12-13 15:11:14,0.005378576697674419
21,1331493,0.0,1,LTC.main,0,2017-12-13T15:04:56Z,2017-12-13 15:04:56,0.0
22,1331492,0.9928815,191,LTC.main,0,2017-12-13T15:04:11Z,2017-12-13 15:04:11,0.005198332460732986
23,1331491,1.00122559,254,LTC.main,0,2017-12-13T15:00:56Z,2017-12-13 15:00:56,0.003941833031496063
24,1331490,1.58110426,489,LTC.main,0,2017-12-13T14:58:35Z,2017-12-13 14:58:35,0.003233342044989775
25,1331489,0.0,1,LTC.main,0,2017-12-13T14:56:55Z,2017-12-13 14:56:55,0.0
26,1331488,0.06299697,24,LTC.main,0,2017-12-13T14:53:36Z,2017-12-13 14:53:36,0.00262487375
27,1331487,0.81123638,232,LTC.main,0,2017-12-13T14:53:26Z,2017-12-13 14:53:26,0.003496708534482759
28,1331486,0.60305204,164,LTC.main,0,2017-12-13T14:51:12Z,2017-12-13 14:51:12,0.003677146585365854
29,1331485,0.57637723,322,LTC.main,0,2017-12-13T14:49:32Z,2017-12-13 14:49:32,0.0017899913975155278
30,1331484,0.0,1,LTC.main,0,2017-12-13T14:49:23Z,2017-12-13 14:49:23,0.0
31,1331483,1.9367515,372,LTC.main,0,2017-12-13T14:49:13Z,2017-12-13 14:49:13,0.005206321236559139
32,1331482,0.0,1,LTC.main,0,2017-12-13T14:43:37Z,2017-12-13 14:43:37,0.0
33,1331481,0.9838673,290,LTC.main,0,2017-12-13T14:42:42Z,2017-12-13 14:42:42,0.003392645862068965
34,1331480,0.0,1,LTC.main,0,2017-12-13T14:40:12Z,2017-12-13 14:40:12,0.0
35,1331479,0.31136841,99,LTC.main,0,2017-12-13T14:40:01Z,2017-12-13 14:40:01,0.0031451354545454545
36,1331478,1.0819743,299,LTC.main,0,2017-12-13T14:39:37Z,2017-12-13 14:39:37,0.0036186431438127095
37,1331477,0.02145347,10,LTC.main,0,2017-12-13T14:36:04Z,2017-12-13 14:36:04,0.002145347
38,1331476,0.84471336,229,LTC.main,0,2017-12-13T14:35:57Z,2017-12-13 14:35:57,0.003688704628820961
39,1331475,0.53335101,235,LTC.main,0,2017-12-13T14:34:15Z,2017-12-13 14:34:15,0.0022695787659574467
40,1331474,0.0,1,LTC.main,0,2017-12-13T14:33:09Z,2017-12-13 14:33:09,0.0
41,1331473,0.0,1,LTC.main,0,2017-12-13T14:32:58Z,2017-12-13 14:32:58,0.0
42,1331472,2.3448805900000003,708,LTC.main,0,2017-12-13T14:32:54Z,2017-12-13 14:32:54,0.003311978234463277
43,1331471,1.09784603,200,LTC.main,0,2017-12-13T14:28:03Z,2017-12-13 14:28:03,0.00548923015
44,1331470,0.30461746,105,LTC.main,0,2017-12-13T14:23:34Z,2017-12-13 14:23:34,0.0029011186666666666
45,1331469,0.89508982,256,LTC.main,0,2017-12-13T14:22:34Z,2017-12-13 14:22:34,0.003496444609375
46,1331468,0.49518622,147,LTC.main,0,2017-12-13T14:20:10Z,2017-12-13 14:20:10,0.003368613741496599
47,1331467,1.1233465,351,LTC.main,0,2017-12-13T14:18:56Z,2017-12-13 14:18:56,0.003200417378917379
48,1331466,0.86805211,230,LTC.main,0,2017-12-13T14:15:13Z,2017-12-13 14:15:13,0.003774139608695652
49,1331465,0.0,1,LTC.main,0,2017-12-13T14:14:17Z,2017-12-13 14:14:17,0.0
50,1331464,0.31882858000000003,114,LTC.main,0,2017-12-13T14:13:27Z,2017-12-13 14:13:27,0.002796741929824561
51,1331463,0.78633322,216,LTC.main,0,2017-12-13T14:12:26Z,2017-12-13 14:12:26,0.0036404315740740734
52,1331462,0.40861979,127,LTC.main,0,2017-12-13T14:10:08Z,2017-12-13 14:10:08,0.0032174786614173226
53,1331461,0.0,1,LTC.main,0,2017-12-13T14:08:39Z,2017-12-13 14:08:39,0.0
54,1331460,0.35778073,108,LTC.main,0,2017-12-13T14:08:38Z,2017-12-13 14:08:38,0.0033127845370370373
55,1331459,0.0,1,LTC.main,0,2017-12-13T14:08:11Z,2017-12-13 14:08:11,0.0
